曽鯉坪球,曽鯉誤,劾促,鯵昔,須厩昔,奄淫域,榎清燈切,左蝿,燈重,精楳,奄展榎清,尻奄榎,奄展狛昔,奄展須昔,紫乞呑球
A035720,朝朝神,20230526,350261,-78887,-272781,-180453,-2462,-8142,0,0,-71683,-468,1875,-10041
A035720,朝朝神,20230525,270548,-100672,-169785,-125016,-2551,-7126,0,0,-31717,-500,409,-3375
A035720,朝朝神,20230530,100441,-111723,15906,45801,-5207,-12452,0,1,-3199,-6557,1933,-9038
A035720,朝朝神,20230601,597336,-336124,-303598,-119656,-13115,-11227,123,-2670,-67130,39975,2411,-89923
A035720,朝朝神,20230531,399610,-298693,-140312,-54444,-5107,-3840,123,-2556,-45763,37728,1667,-28725
A035720,朝朝神,20230602,-620549,29306,590700,556823,-8198,-391,-3200,-868,60842,512,31,-14308
A035720,朝朝神,20230605,-3720,-55642,59448,117835,-18527,-8007,-260,0,-30998,811,-897,-595
A035720,朝朝神,20230607,-192002,92011,121383,131375,-6121,-4254,0,-128,-41888,-18919,-2473,42399
A035720,朝朝神,20230609,346063,-30232,-331722,368425,4572,-539167,-4235,-1377,7499,14795,1096,-167439
A035720,朝朝神,20230608,179504,-73993,-107426,72392,504,-114670,-3545,6,-35963,1544,371,-26150
A035720,朝朝神,20230613,247681,-137830,-115160,186267,-19405,-7330,-2685,-2028,-151884,1282,4027,-118095
A035720,朝朝神,20230612,-73092,56817,13424,127204,-12426,-357,0,0,-36327,-131,2982,-64670
A035720,朝朝神,20230615,1434440,-883256,-581091,81060,-64883,-66505,-3170,-1037,-430007,17821,12086,-96549
A035720,朝朝神,20230614,284582,-403843,127177,220479,-5812,17273,-2875,-169,-93018,-12975,5059,-8701
A035720,朝朝神,20230616,599728,-240526,-358038,-54150,-20067,-33857,-3097,-855,-199177,-3201,2037,-46835
A035720,朝朝神,20230619,427318,-130705,-294599,134161,-72974,-39825,-2118,1,-227948,-4724,2710,-85896
A035720,朝朝神,20230621,1099447,-528418,-543840,102659,-56606,-207942,-813,-3875,-359062,-33461,6272,-18201
A035720,朝朝神,20230620,618028,-309594,-284377,67608,-23998,-153837,0,-3056,-144767,-25630,1573,-26327
A035720,朝朝神,20230623,879732,-559990,-329429,-90491,-38609,-37917,-3441,-408,-117094,4005,5682,-41469
A035720,朝朝神,20230622,301396,-235247,-66598,31527,-11009,-16087,-1767,-410,-48831,540,-91,-20021
