辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20230228,20071,17441,-38561,-4052,0,-27279,260,-10000,12924,977,72,-10414
A328130,风粗,20230303,78271,-27171,-51111,-3571,820,-9252,0,0,0,-1383,1394,-39108
A328130,风粗,20230302,145129,-85764,-54583,-2959,0,-9386,0,0,0,-6195,1413,-42238
A328130,风粗,20230307,-78527,41585,43993,-4245,0,31277,0,0,19740,-6076,-975,-2779
A328130,风粗,20230306,4195,-6464,6593,-4780,0,11435,0,0,0,-3812,-512,-62
A328130,风粗,20230309,88630,-99674,15143,904,0,-15477,0,0,28406,-4160,61,1310
A328130,风粗,20230308,95912,-100182,5335,2948,0,-15379,0,0,14235,-1054,-11,3531
A328130,风粗,20230310,-48745,9232,42628,4982,-8970,19176,0,1,19037,-4692,1577,8402
A328130,风粗,20230313,-21291,27254,831,-87,-4920,608,0,-1,2027,-6120,-674,3204
A328130,风粗,20230315,-87754,84683,-3731,-2641,-2387,8439,-2026,0,1612,6501,301,-6728
A328130,风粗,20230314,-89440,92109,-675,-2015,-2387,3786,-2026,0,1937,-1999,5,30
A328130,风粗,20230317,610,-23086,20603,3835,0,17214,0,-1,0,2808,-935,-445
A328130,风粗,20230316,-9444,-10765,17286,1042,0,14923,0,0,0,4616,-1693,1321
A328130,风粗,20230321,47123,-63512,18271,3023,5896,8607,0,0,1020,-1032,-850,-275
A328130,风粗,20230320,-9452,-9502,18506,2218,5245,11223,0,0,754,819,-371,-934
A328130,风粗,20230323,20524,-30070,10823,2937,830,25523,0,1,0,-783,-494,-18468
A328130,风粗,20230322,23052,-18263,-4650,1942,830,-2280,0,0,0,-769,630,-5142
A328130,风粗,20230324,-12027,18647,-6184,-2447,0,-2224,0,0,0,-850,414,-1513
A328130,风粗,20230327,25002,-27310,1426,1878,-131,-941,0,0,-463,851,31,1083
A328130,风粗,20230329,5060,-8137,7159,-596,-158,-216,0,0,15330,-1800,-2282,-7201
A328130,风粗,20230328,12483,-3177,-9749,-1031,-158,-683,0,0,-557,200,243,-7320
A328130,风粗,20230331,35040,-32226,-4443,-2670,-4249,-4125,0,1,0,-1288,2917,6600
A328130,风粗,20230330,18570,-10307,-7945,-971,-4249,-1626,0,0,0,-220,-98,-1099
A328130,风粗,20230404,-151514,68781,52200,-6022,1009,15381,0,0,0,29610,923,41832
